origin_city,destination_city,avg_speed_mph,weight_of_truck_tons,fuel_price_usd_per_gallon,fuel_efficiency_mpg,traffic_status,road_condition_score,weather_condition,season,delivery_target_days,driver_hours_per_day,market_demand_index,carrier_type,holiday_indicator,lane_type_original,lane_type_corrected,lane_id_corrected,ref_distance_miles,ref_speed_limit_mph,ref_total_lane_cost_usd,fuel_cost_usd,total_cost_usd,avg_speed_mph_corrected
"Chicago, IL","Houston, TX",56.3,24.8,3.8,5.7,Medium,6.3,Rain,Spring,3,8,9.4,Dry Van,1,slow,slow,1,1083,60,1995.97,722,2717.97,56.3
"Miami, FL","Seattle, WA",43.5,14.8,4.23,7.44,Low,6.1,Snow,Spring,10,8,3.5,Dry Van,0,fast,slow,1,3141,60,5817.13,1785.810484,7602.940484,43.5
"Denver, CO","Miami, FL",71,10.8,3.81,7.97,High,9.2,Rain,Fall,4,8,6,Dry Van,1,slow,fast,3,1984,80,5406.4,948.4366374,6354.836637,71
"Atlanta, GA","Houston, TX",50,20.8,3.91,5.93,High,8.5,Rain,Fall,3,8,3.2,Refrigerated,0,slow,slow,1,806,60,1467.73,531.4435076,1999.173508,50
"Atlanta, GA","Houston, TX",42,17.1,4.83,6.44,Low,7.3,Rain,Spring,3,8,2.2,Dry Van,0,slow,slow,1,806,60,1467.73,604.5,2072.23,42
"Chicago, IL","New York, NY",43.6,23.8,4.81,6.97,High,7.2,Fog,Winter,3,8,6.9,Flatbed,1,slow,slow,1,818,60,1537.02,564.5021521,2101.522152,43.6
"Miami, FL","New York, NY",53.8,26.3,3.69,4.14,High,8.5,Snow,Fall,3,8,1.6,Refrigerated,1,normal,slow,1,1256,60,2360.02,1119.478261,3479.498261,53.8
"Denver, CO","Atlanta, GA",46.7,23,3.54,5.26,Low,9.1,Clear,Fall,4,8,6.7,Tanker,0,fast,slow,1,1392,60,2540.4,936.8212928,3477.221293,46.7
"Seattle, WA","Miami, FL",50.4,20.6,3.31,5.49,High,5.3,Rain,Fall,8,8,3.3,Flatbed,1,normal,slow,1,3141,60,5817.13,1893.754098,7710.884098,50.4
"Miami, FL","Dallas, TX",45.2,29.6,3.42,4.52,High,5.2,Rain,Fall,4,8,5.7,Flatbed,1,slow,slow,1,1277,60,2353.51,966.2256637,3319.735664,45.2
"Miami, FL","Houston, TX",41.2,16.1,4.63,7.54,High,4.5,Snow,Spring,4,8,6.3,Dry Van,1,slow,slow,1,1112,60,2049.42,682.8328912,2732.252891,41.2
"New York, NY","Miami, FL",44.2,29.4,3.37,5.78,Low,6.9,Fog,Fall,4,8,6.3,Refrigerated,1,normal,slow,1,1256,60,2360.02,732.3044983,3092.324498,44.2
"Miami, FL","New York, NY",62,28.1,5,4.13,Medium,5.4,Fog,Spring,3,8,3.9,Refrigerated,0,normal,normal,2,1256,70,2775.76,1520.581114,4296.341114,62
"Chicago, IL","Houston, TX",50.7,29.6,4.29,6.87,High,9.9,Fog,Fall,3,8,6.3,Refrigerated,0,slow,slow,1,1083,60,1995.97,676.2838428,2672.253843,50.7
"Los Angeles, CA","Phoenix, AZ",69.8,23.5,4.09,6.61,Low,5.6,Fog,Fall,1,8,6.1,Refrigerated,1,slow,normal,2,410,70,887.65,253.6913767,1141.341377,69.8
"Phoenix, AZ","Houston, TX",66,10.7,3.12,5.2,High,6.8,Storm,Winter,3,8,3.5,Tanker,0,normal,normal,2,1166,70,2501.07,699.6,3200.67,66
"Los Angeles, CA","Dallas, TX",42,19.6,4.77,4.61,Medium,7.6,Fog,Winter,5,8,4.2,Tanker,1,slow,slow,1,1423,60,2609.78,1472.388286,4082.168286,42
"Houston, TX","Miami, FL",54.4,17.6,3.01,6.77,High,8,Storm,Summer,3,8,4.2,Dry Van,0,normal,slow,1,1112,60,2049.42,494.4047267,2543.824727,54.4
"Denver, CO","Chicago, IL",71.8,22.9,4.16,7.19,High,9.2,Storm,Spring,2,8,4.8,Refrigerated,1,normal,fast,3,1056,80,2877.6,610.9819193,3488.581919,71.8
"Miami, FL","New York, NY",73.8,22.4,3.17,7.45,High,6.9,Fog,Fall,3,8,5.5,Flatbed,1,fast,fast,3,1256,80,3484.14,534.4322148,4018.572215,73.8
"New York, NY","Houston, TX",70.7,10.1,4.65,6.23,High,4.3,Rain,Spring,3,8,2.9,Dry Van,1,normal,fast,3,1630,80,4453.16,1216.613162,5669.773162,70.7
"New York, NY","Denver, CO",70,12.6,3.39,4.52,Low,5.8,Rain,Summer,4,8,4.7,Refrigerated,1,slow,normal,2,1872,70,4090.32,1404,5494.32,70
"Miami, FL","Houston, TX",45.8,13.3,4.88,5.37,Medium,9.9,Storm,Fall,4,8,0.5,Dry Van,1,fast,slow,1,1112,60,2049.42,1010.532588,3059.952588,45.8
"Miami, FL","Seattle, WA",48.9,13.8,4.41,6.09,Medium,4.7,Rain,Spring,9,8,6.4,Flatbed,0,normal,slow,1,3141,60,5817.13,2274.517241,8091.647241,48.9
"Atlanta, GA","Houston, TX",42.8,6.2,3.04,4.76,High,6.5,Clear,Spring,3,8,4.6,Refrigerated,1,fast,slow,1,806,60,1467.73,514.7563025,1982.486303,42.8
"Chicago, IL","New York, NY",59.7,7.8,4.22,6.27,Medium,8.8,Storm,Winter,2,8,2.5,Flatbed,1,slow,slow,1,818,60,1537.02,550.5518341,2087.571834,59.7
"Seattle, WA","Chicago, IL",71.8,24.6,3.97,7.78,Medium,4.3,Storm,Spring,4,8,4.5,Flatbed,1,slow,fast,3,1993,80,5444.88,1016.993573,6461.873573,71.8
"Houston, TX","Atlanta, GA",73.6,8.6,4.16,5.13,High,5.7,Snow,Fall,2,8,5.9,Refrigerated,0,slow,fast,3,806,80,2162.5,653.5984405,2816.098441,73.6
"Seattle, WA","Los Angeles, CA",53.7,16.2,4.46,5.43,Low,4.4,Snow,Summer,3,8,1.2,Tanker,1,slow,slow,1,1104,60,2034.67,906.7845304,2941.45453,53.7
"Seattle, WA","Houston, TX",56.5,22.8,3.79,5.03,Medium,6.1,Rain,Spring,5,8,6.3,Tanker,1,fast,slow,1,2173,60,3965.72,1637.310139,5603.030139,56.5
"Seattle, WA","New York, NY",63.8,19.3,4.22,7.77,Medium,8.7,Fog,Spring,6,8,6.9,Flatbed,1,normal,normal,2,2762,70,6048.78,1500.082368,7548.862368,63.8
"Houston, TX","Miami, FL",47.5,26.7,4.91,4.95,Medium,9.3,Rain,Summer,3,8,0.6,Flatbed,0,normal,slow,1,1112,60,2049.42,1103.014141,3152.434141,47.5
"Seattle, WA","Los Angeles, CA",42,26.1,3.12,5.09,Medium,4.6,Fog,Winter,4,8,0.9,Tanker,1,normal,slow,1,1104,60,2034.67,676.7151277,2711.385128,42
"Houston, TX","Dallas, TX",44.7,26.3,4.63,4.05,Medium,9.4,Storm,Spring,1,8,0.3,Flatbed,1,normal,slow,1,259,60,470.34,296.091358,766.431358,44.7
"Atlanta, GA","Denver, CO",58,24.9,3.68,6.82,Medium,5.1,Fog,Spring,3,8,2.6,Refrigerated,1,fast,slow,1,1392,60,2540.4,751.1085044,3291.508504,58
"Denver, CO","Atlanta, GA",62.7,17.8,3.89,7.87,Low,7.4,Fog,Spring,3,8,1.4,Dry Van,1,normal,normal,2,1392,70,2992.8,688.0406607,3680.840661,62.7
"Seattle, WA","Houston, TX",70.4,19.6,4.44,5.49,Low,4.6,Clear,Spring,4,8,3.9,Refrigerated,1,normal,fast,3,2173,80,5845.37,1757.398907,7602.768907,70.4
"Chicago, IL","Phoenix, AZ",48.5,29.2,4.92,4.99,Medium,6.1,Snow,Fall,5,8,9.7,Refrigerated,1,fast,slow,1,1670,60,3086.16,1646.573146,4732.733146,48.5
"Dallas, TX","Los Angeles, CA",51.2,18.2,4.38,5.09,High,8.4,Clear,Spring,4,8,0.5,Flatbed,1,slow,slow,1,1423,60,2609.78,1224.506876,3834.286876,51.2
"Houston, TX","Los Angeles, CA",52.4,12.9,3.98,5.28,Medium,5.2,Clear,Spring,4,8,9.7,Flatbed,0,fast,slow,1,1577,60,2892.22,1188.723485,4080.943485,52.4
"Dallas, TX","Phoenix, AZ",55.6,19.4,4.97,4.97,Medium,8.1,Fog,Summer,3,8,3.8,Tanker,1,slow,slow,1,1017,60,1851.96,1017,2868.96,55.6
"Phoenix, AZ","Dallas, TX",40.3,17.3,4.97,5.11,Low,6.4,Rain,Winter,4,8,4.2,Dry Van,1,normal,slow,1,1017,60,1851.96,989.1369863,2841.096986,40.3
"Chicago, IL","Seattle, WA",72.8,21.9,3.24,4.28,Low,6.9,Rain,Summer,4,8,2.5,Tanker,0,normal,fast,3,1993,80,5444.88,1508.719626,6953.599626,72.8
"Chicago, IL","Atlanta, GA",43.1,22.9,3.54,7.04,Medium,8.3,Rain,Winter,2,8,5.1,Refrigerated,1,normal,slow,1,677,60,1251.1,340.4232955,1591.523295,43.1
"Chicago, IL","Seattle, WA",70.3,26.8,3.84,5.78,Low,5.8,Fog,Fall,4,8,2.7,Dry Van,1,fast,fast,3,1993,80,5444.88,1324.069204,6768.949204,70.3
"Los Angeles, CA","Dallas, TX",67.2,26.5,4.69,5.44,High,8.1,Storm,Winter,3,8,0.6,Dry Van,1,fast,normal,2,1423,70,3073.68,1226.814338,4300.494338,67.2
"Houston, TX","Atlanta, GA",40.3,15.2,3.66,6.77,Low,8.6,Rain,Winter,3,8,2.9,Refrigerated,1,normal,slow,1,806,60,1467.73,435.7400295,1903.47003,40.3
"Miami, FL","Dallas, TX",65.4,22.3,4.97,4.9,Medium,8,Storm,Winter,3,8,1.6,Tanker,0,slow,normal,2,1277,70,2771.09,1295.242857,4066.332857,65.4
"Dallas, TX","New York, NY",59.9,11.9,3.95,5.34,High,7.5,Fog,Spring,4,8,5.7,Dry Van,0,fast,slow,1,1576,60,2918.75,1165.76779,4084.51779,59.9
"Atlanta, GA","Los Angeles, CA",58.2,6.3,3.47,5.97,Low,5.9,Storm,Summer,5,8,5,Flatbed,0,normal,slow,1,2223,60,4088.1,1292.095477,5380.195477,58.2
"Miami, FL","Los Angeles, CA",49,16.6,3.27,7.71,High,9.2,Clear,Spring,7,8,6.2,Tanker,0,fast,slow,1,2686,60,4998.65,1139.198444,6137.848444,49
"Miami, FL","Seattle, WA",71.5,20.7,3.88,4.16,Medium,7,Fog,Spring,6,8,2.7,Flatbed,1,fast,fast,3,3141,80,8581.21,2929.586538,11510.79654,71.5
"Miami, FL","Los Angeles, CA",48.8,25.6,3.17,7.46,Low,7,Fog,Fall,7,8,1.6,Dry Van,1,normal,slow,1,2686,60,4998.65,1141.369973,6140.019973,48.8
"Atlanta, GA","Los Angeles, CA",45.1,26.9,4.06,5.87,Medium,4.6,Snow,Fall,7,8,8.7,Dry Van,0,fast,slow,1,2223,60,4088.1,1537.543441,5625.643441,45.1
"Chicago, IL","Seattle, WA",61.9,6.9,3.22,4.2,Medium,5.5,Snow,Summer,5,8,3.9,Dry Van,1,slow,normal,2,1993,70,4344.74,1527.966667,5872.706667,61.9
"Dallas, TX","Seattle, WA",61.4,25.9,4.42,4.45,High,8.4,Rain,Winter,4,8,1.7,Dry Van,0,normal,normal,2,1932,70,4153.8,1918.975281,6072.775281,61.4
"Miami, FL","Chicago, IL",56.2,24.7,4.21,6.62,High,10,Fog,Spring,4,8,4.1,Tanker,0,fast,slow,1,1370,60,2561.9,871.2537764,3433.153776,56.2
"New York, NY","Houston, TX",40.8,7.3,4.36,7.52,Medium,7.1,Snow,Winter,5,8,2.6,Flatbed,0,normal,slow,1,1630,60,3018.76,945.0531915,3963.813191,40.8
"Dallas, TX","Los Angeles, CA",66.3,19.7,3.43,4.39,Low,4.4,Rain,Winter,3,8,4.3,Tanker,0,slow,normal,2,1423,70,3073.68,1111.820046,4185.500046,66.3
"Chicago, IL","Dallas, TX",72.5,21,3.62,6.1,High,4.4,Fog,Fall,2,8,3.6,Dry Van,0,fast,fast,3,925,80,2514.15,548.9344262,3063.084426,72.5
"Miami, FL","Atlanta, GA",52.4,22.1,4.32,6.86,High,5.6,Clear,Winter,2,8,1.3,Refrigerated,1,fast,slow,1,697,60,1288.06,438.9271137,1726.987114,52.4
"Chicago, IL","Phoenix, AZ",41.4,19.9,4.74,7.56,Low,6.7,Snow,Fall,6,8,0.8,Dry Van,0,fast,slow,1,1670,60,3086.16,1047.063492,4133.223492,41.4
"New York, NY","Houston, TX",68.7,11.1,3.84,7.36,Low,9.3,Clear,Summer,3,8,5.5,Flatbed,0,fast,normal,2,1630,70,3553.4,850.4347826,4403.834783,68.7
"Seattle, WA","Chicago, IL",43.6,27.8,4.64,7.04,High,4.3,Rain,Fall,6,8,5.3,Refrigerated,0,slow,slow,1,1993,60,3691.04,1313.568182,5004.608182,43.6
"Seattle, WA","Atlanta, GA",63.9,23.8,4.45,7.48,High,5.1,Rain,Fall,5,8,9.5,Flatbed,1,fast,normal,2,2505,70,5398.28,1490.274064,6888.554064,63.9
"Phoenix, AZ","Denver, CO",44.4,18.1,3.22,4.81,Low,10,Rain,Fall,2,8,2.8,Dry Van,0,slow,slow,1,673,60,1228.23,450.5322245,1678.762225,44.4
"Seattle, WA","Phoenix, AZ",73.8,16,3.52,7.35,Medium,8.3,Storm,Summer,3,8,2.1,Dry Van,1,normal,fast,3,1282,80,3457.55,613.9646259,4071.514626,73.8
"Denver, CO","Miami, FL",44.4,8.2,4.35,7.43,Low,9.8,Storm,Spring,6,8,1.1,Tanker,1,fast,slow,1,1984,60,3666.43,1161.561238,4827.991238,44.4
"Miami, FL","Phoenix, AZ",60.3,20.5,4.56,6.81,Medium,9,Clear,Winter,5,8,5,Dry Van,0,normal,normal,2,2276,70,4950.3,1524.017621,6474.317621,60.3
"Seattle, WA","Los Angeles, CA",50.5,5.5,3.86,4.13,Low,9.7,Snow,Spring,3,8,7.9,Refrigerated,1,normal,slow,1,1104,60,2034.67,1031.825666,3066.495666,50.5
"Dallas, TX","Houston, TX",47.6,20.5,3.1,5.93,High,4.1,Storm,Spring,1,8,5,Flatbed,0,fast,slow,1,259,60,470.34,135.3962901,605.7362901,47.6
"Phoenix, AZ","Miami, FL",45.1,21.1,3.47,4.63,Low,8.1,Snow,Summer,7,8,4.9,Refrigerated,0,slow,slow,1,2276,60,4206.05,1705.771058,5911.821058,45.1
"Houston, TX","New York, NY",72.5,9.1,3,7.94,High,9.4,Fog,Spring,3,8,8.3,Flatbed,1,slow,fast,3,1630,80,4453.16,615.8690176,5069.029018,72.5
"Phoenix, AZ","Los Angeles, CA",49.1,27,3.39,7.79,High,5.2,Storm,Winter,2,8,9.7,Dry Van,0,normal,slow,1,410,60,753.99,178.4210526,932.4110526,49.1
"New York, NY","Denver, CO",73.1,21.9,3.6,4.75,Low,5.8,Snow,Summer,4,8,1.4,Tanker,1,slow,fast,3,1872,80,5127.41,1418.778947,6546.188947,73.1
"Chicago, IL","Atlanta, GA",54.8,24.9,3.28,4.52,High,7.9,Storm,Winter,2,8,1,Tanker,0,fast,slow,1,677,60,1251.1,491.2743363,1742.374336,54.8
"Houston, TX","Seattle, WA",72.3,25.5,3.71,6.62,Medium,7.2,Storm,Spring,4,8,6.8,Dry Van,0,slow,fast,3,2173,80,5845.37,1217.799094,7063.169094,72.3
"Los Angeles, CA","Dallas, TX",49.3,6,3.91,7.56,High,7.4,Fog,Fall,4,8,9.9,Flatbed,0,fast,slow,1,1423,60,2609.78,735.9695767,3345.749577,49.3
"Denver, CO","Houston, TX",64.2,21.9,4.96,7.94,Low,8.1,Rain,Summer,2,8,2.8,Flatbed,1,normal,normal,2,1010,70,2166.45,630.9319899,2797.38199,64.2
"New York, NY","Dallas, TX",70,25.4,3.9,5.96,Medium,5.3,Snow,Winter,3,8,7.6,Tanker,1,fast,normal,2,1576,70,3435.68,1031.275168,4466.955168,70
"Los Angeles, CA","New York, NY",72.9,9.4,4.75,6.95,High,5.5,Rain,Fall,5,8,2.7,Tanker,0,normal,fast,3,2812,80,7761.12,1921.870504,9682.990504,72.9
"Seattle, WA","New York, NY",62.2,23,3.51,6.88,Low,4.2,Clear,Summer,6,8,4.6,Tanker,1,slow,normal,2,2762,70,6048.78,1409.101744,7457.881744,62.2
"New York, NY","Chicago, IL",71.4,28.4,4.96,7.47,High,5,Fog,Fall,2,8,5.8,Dry Van,1,slow,fast,3,818,80,2269.13,543.1432396,2812.27324,71.4
"Atlanta, GA","Miami, FL",46.2,5.2,4.61,4.31,High,6.5,Clear,Summer,2,8,2.4,Refrigerated,1,normal,slow,1,697,60,1288.06,745.5150812,2033.575081,46.2
"New York, NY","Phoenix, AZ",67,20.8,4.98,5.38,Low,4.4,Fog,Winter,5,8,5.2,Refrigerated,0,fast,normal,2,2461,70,5377.29,2278.026022,7655.316022,67
"Miami, FL","Los Angeles, CA",67.4,10.1,3.52,4.37,Low,6.4,Clear,Winter,5,8,5.1,Refrigerated,0,fast,normal,2,2686,70,5882.34,2163.551487,8045.891487,67.4
"Houston, TX","Dallas, TX",71.7,8.4,3.11,4.07,High,4.9,Clear,Summer,1,8,5,Tanker,1,normal,fast,3,259,80,693.08,197.9090909,890.9890909,71.7
"Dallas, TX","Miami, FL",55.6,22.7,4.46,4.7,High,6.2,Storm,Spring,3,8,0.7,Refrigerated,1,slow,slow,1,1277,60,2353.51,1211.791489,3565.301489,55.6
"Seattle, WA","Phoenix, AZ",58.7,29.9,3.95,7.26,High,6.6,Rain,Winter,3,8,8.1,Tanker,0,fast,slow,1,1282,60,2346.06,697.5068871,3043.566887,58.7
"Houston, TX","Los Angeles, CA",48.7,27.8,3.31,6.51,Medium,4.2,Rain,Summer,5,8,2.4,Flatbed,1,slow,slow,1,1577,60,2892.22,801.8233487,3694.043349,48.7
"Dallas, TX","Chicago, IL",65.8,13,4.01,4.65,High,9.8,Snow,Summer,2,8,8.6,Flatbed,0,normal,normal,2,925,70,2007.25,797.688172,2804.938172,65.8
"Houston, TX","Denver, CO",66.7,8.6,3.02,4.08,Medium,7.5,Storm,Winter,2,8,2,Dry Van,1,slow,normal,2,1010,70,2166.45,747.5980392,2914.048039,66.7
"New York, NY","Seattle, WA",66.1,8.6,4.76,5.08,Low,9.9,Rain,Fall,6,8,1.8,Flatbed,0,slow,normal,2,2762,70,6048.78,2588.015748,8636.795748,66.1
"Atlanta, GA","Seattle, WA",55.4,6.7,4.16,6.39,Medium,8.4,Fog,Fall,6,8,4.5,Refrigerated,0,normal,slow,1,2505,60,4584.15,1630.798122,6214.948122,55.4
"Miami, FL","New York, NY",47.1,20.7,3.72,7.98,High,6.9,Snow,Spring,4,8,5.7,Dry Van,0,normal,slow,1,1256,60,2360.02,585.5037594,2945.523759,47.1
"Houston, TX","Denver, CO",68,16.3,4.44,6.34,High,7,Snow,Spring,2,8,2.2,Refrigerated,1,slow,normal,2,1010,70,2166.45,707.318612,2873.768612,68
"Denver, CO","Los Angeles, CA",69.1,16.6,3.97,7.74,High,7.8,Fog,Spring,2,8,4.6,Tanker,0,slow,normal,2,954,70,2065.41,489.3255814,2554.735581,69.1
"New York, NY","Los Angeles, CA",72.5,16.5,3.36,5.21,Medium,4.3,Storm,Summer,5,8,8.5,Tanker,0,normal,fast,3,2812,80,7761.12,1813.497121,9574.617121,72.5
"Atlanta, GA","Los Angeles, CA",72.6,8.1,3.76,4.11,High,9.1,Rain,Spring,4,8,6.3,Dry Van,0,fast,fast,3,2223,80,6026.55,2033.693431,8060.243431,72.6
"Denver, CO","Los Angeles, CA",55,12.7,4.92,7.86,High,5.7,Rain,Summer,3,8,9.7,Flatbed,0,fast,slow,1,954,60,1754.41,597.1603053,2351.570305,55
"Los Angeles, CA","Miami, FL",54.4,7.5,4.02,4.1,High,6.4,Clear,Summer,7,8,5.3,Tanker,1,slow,slow,1,2686,60,4998.65,2633.590244,7632.240244,54.4
"Houston, TX","Phoenix, AZ",68,26.1,4.27,4.17,High,5.2,Snow,Spring,3,8,3.7,Refrigerated,0,fast,normal,2,1166,70,2501.07,1193.961631,3695.031631,68
"Los Angeles, CA","New York, NY",64.6,12.5,3.54,7.99,High,9.1,Storm,Summer,6,8,9.8,Refrigerated,0,slow,normal,2,2812,70,6186.4,1245.867334,7432.267334,64.6
"Atlanta, GA","Dallas, TX",66,5.8,3.24,6.53,Low,9.4,Fog,Spring,2,8,1.3,Tanker,1,normal,normal,2,828,70,1776.06,410.8300153,2186.890015,66
"Los Angeles, CA","Denver, CO",69.5,8.5,4.04,4.15,Medium,4.5,Rain,Spring,2,8,6.9,Refrigerated,0,normal,normal,2,954,70,2065.41,928.713253,2994.123253,69.5
"Dallas, TX","Denver, CO",47.5,25.3,3.43,6.17,Medium,9.8,Fog,Spring,3,8,9.4,Refrigerated,0,slow,slow,1,762,60,1387.6,423.6077796,1811.20778,47.5
"Chicago, IL","Los Angeles, CA",59.9,14.4,4.93,5.09,High,6.4,Fog,Summer,5,8,5.4,Tanker,0,normal,slow,1,2004,60,3729.44,1941.005894,5670.445894,59.9
"Denver, CO","New York, NY",49,22.5,3.03,4.2,High,7.6,Fog,Summer,5,8,5.4,Tanker,0,slow,slow,1,1872,60,3474.43,1350.514286,4824.944286,49
"Seattle, WA","Chicago, IL",57.5,6.8,4.37,6.01,Medium,8.6,Clear,Spring,5,8,1.5,Tanker,0,normal,slow,1,1993,60,3691.04,1449.153078,5140.193078,57.5
"Seattle, WA","Denver, CO",46,26.8,4.23,4.63,High,9.8,Clear,Spring,4,8,6.3,Dry Van,1,fast,slow,1,1172,60,2144.76,1070.7473,3215.5073,46
"Denver, CO","Houston, TX",68.1,25.4,4.96,6.01,Medium,6.7,Rain,Fall,2,8,1.3,Dry Van,0,normal,normal,2,1010,70,2166.45,833.5440932,2999.994093,68.1
"Seattle, WA","Los Angeles, CA",59.1,7.2,3.84,7.41,High,9.1,Fog,Winter,3,8,8.7,Flatbed,0,normal,slow,1,1104,60,2034.67,572.1133603,2606.78336,59.1
"New York, NY","Seattle, WA",65.2,7.5,4.25,5.42,Medium,8.7,Fog,Summer,6,8,6.4,Tanker,0,slow,normal,2,2762,70,6048.78,2165.774908,8214.554908,65.2
"Los Angeles, CA","Phoenix, AZ",65,26.8,3.25,7.47,High,7.6,Rain,Fall,1,8,4.5,Flatbed,1,fast,normal,2,410,70,887.65,178.3801874,1066.030187,65
"Miami, FL","Los Angeles, CA",55.9,26.3,4.16,4.32,High,5.2,Clear,Winter,7,8,3.6,Flatbed,1,fast,slow,1,2686,60,4998.65,2586.518519,7585.168519,55.9
"Miami, FL","Chicago, IL",58.5,19.6,4.59,5.36,High,8.8,Fog,Spring,3,8,5.5,Tanker,1,fast,slow,1,1370,60,2561.9,1173.190299,3735.090299,58.5
"Dallas, TX","Los Angeles, CA",72.7,23.2,4.84,7.63,High,7.6,Rain,Spring,3,8,5.6,Refrigerated,0,normal,fast,3,1423,80,3847.79,902.6631717,4750.453172,72.7
"Dallas, TX","Denver, CO",67.1,7.7,4.56,4.68,Medium,6.7,Fog,Summer,2,8,6.9,Refrigerated,0,normal,normal,2,762,70,1634.49,742.4615385,2376.951538,67.1
"Los Angeles, CA","Atlanta, GA",50.2,7.1,3.6,6.69,High,6,Snow,Winter,6,8,2.4,Tanker,1,slow,slow,1,2223,60,4088.1,1196.233184,5284.333184,50.2
"Phoenix, AZ","Seattle, WA",66.6,10.1,4.42,4.08,High,6.5,Fog,Spring,3,8,3.4,Refrigerated,1,slow,normal,2,1282,70,2762.71,1388.833333,4151.543333,66.6
"Phoenix, AZ","Denver, CO",47.2,23.5,3.1,7.41,Low,5.2,Storm,Winter,2,8,3.5,Refrigerated,1,normal,slow,1,673,60,1228.23,281.5519568,1509.781957,47.2
"New York, NY","Seattle, WA",51.2,27.6,3.25,4.71,Low,7,Rain,Spring,7,8,5.8,Flatbed,1,slow,slow,1,2762,60,5140.08,1905.838641,7045.918641,51.2
"Dallas, TX","Los Angeles, CA",51.3,5.9,3.25,7.66,High,7,Storm,Summer,4,8,0.4,Dry Van,0,slow,slow,1,1423,60,2609.78,603.7532637,3213.533264,51.3
"Dallas, TX","Chicago, IL",58.5,10.1,3.22,5.53,Low,9,Rain,Summer,2,8,6,Refrigerated,1,normal,slow,1,925,60,1704.77,538.6075949,2243.377595,58.5
"New York, NY","Miami, FL",44,19.7,4.33,4.8,Low,9.3,Snow,Summer,4,8,1,Dry Van,1,slow,slow,1,1256,60,2360.02,1133.016667,3493.036667,44
"Chicago, IL","Denver, CO",72.7,20.9,4.6,5.87,Low,6.2,Snow,Fall,2,8,1.2,Refrigerated,0,fast,fast,3,1056,80,2877.6,827.5298126,3705.129813,72.7
"Houston, TX","Miami, FL",43.3,5.7,3.81,7.97,Medium,5,Storm,Spring,4,8,7.2,Refrigerated,0,fast,slow,1,1112,60,2049.42,531.5834379,2581.003438,43.3
"Chicago, IL","Seattle, WA",63.8,10.1,4.49,7.98,Medium,8,Storm,Summer,4,8,9.2,Tanker,1,slow,normal,2,1993,70,4344.74,1121.374687,5466.114687,63.8
"Houston, TX","Seattle, WA",65.5,27.2,3.12,5.8,High,5.2,Snow,Spring,5,8,6.5,Tanker,1,fast,normal,2,2173,70,4671.95,1168.924138,5840.874138,65.5
"Phoenix, AZ","Los Angeles, CA",56.1,12,3.74,4.64,Low,9.3,Snow,Spring,1,8,1.7,Flatbed,0,fast,slow,1,410,60,753.99,330.4741379,1084.464138,56.1
"Dallas, TX","Phoenix, AZ",51.2,19.8,3.42,4.47,Low,9.8,Rain,Fall,3,8,7.9,Tanker,0,fast,slow,1,1017,60,1851.96,778.1073826,2630.067383,51.2
"Miami, FL","New York, NY",44.7,8.6,4.39,6.57,High,8.7,Rain,Winter,4,8,1.4,Refrigerated,1,fast,slow,1,1256,60,2360.02,839.2450533,3199.265053,44.7
"Houston, TX","Chicago, IL",43.3,28.9,4.22,4.01,Medium,9.4,Storm,Summer,4,8,0.9,Flatbed,0,normal,slow,1,1083,60,1995.97,1139.715711,3135.685711,43.3
"Miami, FL","New York, NY",49,13.4,3.8,4.2,High,7,Storm,Winter,4,8,2.4,Refrigerated,0,normal,slow,1,1256,60,2360.02,1136.380952,3496.400952,49
"Miami, FL","New York, NY",43.7,11.7,4.04,6.26,Medium,4.1,Fog,Winter,4,8,3.6,Refrigerated,1,fast,slow,1,1256,60,2360.02,810.5814696,3170.60147,43.7
"Los Angeles, CA","Phoenix, AZ",68.3,14.5,3.09,4.71,Medium,9.7,Fog,Fall,1,8,3.9,Flatbed,1,fast,normal,2,410,70,887.65,268.9808917,1156.630892,68.3
"New York, NY","Miami, FL",71.9,18.9,3.35,5.51,High,9.1,Clear,Spring,3,8,3.9,Dry Van,1,fast,fast,3,1256,80,3484.14,763.6297641,4247.769764,71.9
"Chicago, IL","Los Angeles, CA",47.5,10.5,4.46,6,Low,6.5,Snow,Fall,6,8,1.9,Refrigerated,1,normal,slow,1,2004,60,3729.44,1489.64,5219.08,47.5
"Los Angeles, CA","Chicago, IL",43.2,18.9,4.78,5.15,High,6,Snow,Winter,6,8,0.4,Dry Van,1,normal,slow,1,2004,60,3729.44,1860.023301,5589.463301,43.2
"Chicago, IL","Phoenix, AZ",63.6,29.8,4.77,5.89,Medium,7.1,Fog,Summer,4,8,4.6,Refrigerated,1,slow,normal,2,1670,70,3632.25,1352.444822,4984.694822,63.6
"Los Angeles, CA","Chicago, IL",41.8,26.6,3.68,7.6,Low,9.6,Rain,Winter,6,8,6.6,Tanker,0,normal,slow,1,2004,60,3729.44,970.3578947,4699.797895,41.8
"Phoenix, AZ","Seattle, WA",69.2,29,4.55,6.49,Low,7.6,Snow,Fall,3,8,5.4,Dry Van,1,slow,normal,2,1282,70,2762.71,898.7827427,3661.492743,69.2
"Los Angeles, CA","Chicago, IL",57.8,6.6,3.77,5.78,High,4.8,Rain,Spring,5,8,5.4,Flatbed,1,fast,slow,1,2004,60,3729.44,1307.107266,5036.547266,57.8
