origin_city,origin_state,dest_city,dest_state,distance_miles_est,toll_rate_per_mile_usd,toll_fare_usd,lane_type,lane_rate_per_mile_usd,freight_cost_usd,speed_limit_mph,total_cost_usd
"New York, NY",NY,"Houston, TX",TX,1630,0.08,130.4,normal,2.1,3423,70,3553.4
"New York, NY",NY,"Houston, TX",TX,1630,0.112,182.56,fast,2.62,4270.6,80,4453.16
"New York, NY",NY,"Miami, FL",FL,1256,0.099,124.34,slow,1.78,2235.68,60,2360.02
"New York, NY",NY,"Miami, FL",FL,1256,0.11,138.16,normal,2.1,2637.6,70,2775.76
"New York, NY",NY,"Miami, FL",FL,1256,0.154,193.42,fast,2.62,3290.72,80,3484.14
"New York, NY",NY,"Denver, CO",CO,1872,0.076,142.27,slow,1.78,3332.16,60,3474.43
"New York, NY",NY,"Denver, CO",CO,1872,0.085,159.12,normal,2.1,3931.2,70,4090.32
"New York, NY",NY,"Denver, CO",CO,1872,0.119,222.77,fast,2.62,4904.64,80,5127.41
"New York, NY",NY,"Phoenix, AZ",AZ,2461,0.076,187.04,slow,1.78,4380.58,60,4567.62
"New York, NY",NY,"Phoenix, AZ",AZ,2461,0.085,209.19,normal,2.1,5168.1,70,5377.29
"New York, NY",NY,"Phoenix, AZ",AZ,2461,0.119,292.86,fast,2.62,6447.82,80,6740.68
"New York, NY",NY,"Seattle, WA",WA,2762,0.081,223.72,slow,1.78,4916.36,60,5140.08
"New York, NY",NY,"Seattle, WA",WA,2762,0.09,248.58,normal,2.1,5800.2,70,6048.78
"New York, NY",NY,"Seattle, WA",WA,2762,0.126,348.01,fast,2.62,7236.44,80,7584.45
